word,count
prises,3400.83
prirent,3396.25
prendrais,3394.87
prendrez,3391.38
prendras,3390.61
prendront,3388.44
prendrons,3387.86
prennes,3387.29
prît,3386.91
prenions,3386.31
preniez,3385.45
prendraient,3384.06
prîmes,3383.24
prendriez,3382.35
prissent,3380.86
prendrions,3380.68
prisse,3380.4
prissions,3380.32
passer,3380.26
passe,3369.95
jours,3345.79
fallait,3325.66
trop,3299.08
passer,3295.22
parlait,3258.02
parles,3244.1
bonne,3217.56
peut-être,3211.3
père,3206.48
parlez,3199.38
suivre,3193.72
monde,3128.12
suivi,3122.69
parlons,3119.06
parlent,3118.03
passé,3115.48
parlais,3109.07
parlant,3108.41
suivez,3103.04
parlaient,3102.77
suit,3101.62
parla,3098.26
faudrait,3089.94
parlerai,3087.27
parlera,3086.48
suivait,3086.29
suivit,3075.83
parlions,3075.41
parliez,3070.6
pourquoi,3067.16
parlerait,3066.22
suivant,3065.8
parlerons,3065.12
parlèrent,3064.41
suivie,3064.38
suivent,3063.44
parlerais,3062.55
parleras,3061.73
parlai,3060.93
parlât,3059.77
parlerez,3059.74
parleront,3059.53
parlâmes,3058.13
parleraient,3058.12
parlés,3057.41
parlerions,3057.29
parlée,3057.22
parleriez,3057.2
parlées,3056.93
parlassent,3056.76
parlas,3056.64
parlasses,3056.63
suivaient,3056.31
suivis,3055.88
suivirent,3055.62
maintenant,3051.24
suivais,3051.23
faudra,3051.12
pense,3050.95
suivra,3047.63
suivons,3047.22
chez,3045.44
suive,3045.37
suivrai,3045.02
suivies,3044.38
suivront,3044.28
suivrait,3043.8
suivions,3042.6
suivrais,3042.23
suivrons,3041.94
suivraient,3041.66
suiviez,3041.07
suivrez,3041.04
suives,3040.64
suivras,3040.5
suivîmes,3040.42
suivît,3040.07
suivissent,3039.86
suivrions,3039.8
suivriez,3039.72
ta,3035.32
autre,3025.39
croire,3020.5
regarde,3012.3
petits,3005.87
fallu,2996.03
est-ce que,2963.28
falloir,2961.72
fallut,2932.41
yeux,2919.2
fallût,2904.45
quelque,2884.76
ans,2879.61
croyais,2879.14
croyez,2866.83
petites,2865.42
mère,2857.16
cru,2854.52
après,2830.94
trouver,2825.63
passait,2820.54
laisse,2808.59
s',2808.16
main,2804.33
croit,2787.94
trouvé,2783.02
déjà,2768.24
grand,2759.62
trouve,2756.22
croyait,2755.32
passa,2747.05
seul,2746.5
passant,2732.55
passent,2726.23
passez,2720.22
passée,2718.58
passera,2714.67
aimerais,2714.35
tête,2713.94
croient,2707.79
passaient,2706.43
passés,2697.1
sous,2696.38
crut,2695.08
passons,2688.27
passais,2687.8
passes,2686.8
croirait,2685.16
passèrent,2682.96
passerai,2681.11
passées,2680.63
passerait,2680.21
crus,2675.93
croyaient,2675.34
croyant,2674.69
passai,2671.75
croira,2670.67
croie,2668.5
croyons,2668.35
passions,2668.31
passerez,2667.68
passerais,2667.44
crue,2666.92
passeras,2666.3
passeront,2666.3
croirais,2666.12
passeraient,2665.46
passerons,2665.38
passâmes,2665.07
arrive,2664.68
croiras,2664.37
croiront,2664.17
passiez,2664.03
croirez,2663.81
croyiez,2663.66
croirai,2663.26
croies,2662.93
passât,2662.11
passeriez,2661.93
croiriez,2661.81
croyions,2661.67
passerions,2661.32
passas,2660.9
crurent,2660.88
passâtes,2660.83
croiraient,2660.39
crût,2659.95
crûmes,2659.76
croirions,2659.56
croirons,2659.53
crues,2659.49
crusses,2659.36
crusse,2659.29
crussent,2659.29
penser,2657.13
donne,2656
aimes,2646.67
aimait,2628.97
aimer,2625.58
pensais,2624.44
laisser,2620.81
pensé,2604.51
femmes,2603.35
attends,2599.04
aimé,2598.56
mettre,2589.8
quoi,2584.11
penses,2580.41
aimais,2565.91
mis,2562.8
donner,2555.53
nuit,2554.7
pensez,2545.66
aimez,2531.31
aiment,2526.1
dieu,2521.32
sûr,2501.68
regarder,2497.01
pensait,2496.85
heure,2489.1
donné,2488.99
regardez,2487.96
vraiment,2485.78
aimerait,2484.81
laissez,2482.68
fille,2478.41
aimée,2478.14
bonnes,2477.11
seule,2475.31
trouvait,2475.09
aimaient,2473.3
bons,2469.16
cela,2468.76
aimons,2468.48
aimerai,2467.64
aimera,2461.35
aimés,2461.04
aimeriez,2460.44
grande,2460.28
aimiez,2460.24
aimions,2459.26
aimerions,2458.9
aimeraient,2457.79
aimant,2457.2
aimeras,2456.26
aimerez,2454.4
aimât,2452.81
aima,2452.78
aimées,2452.73
aimeront,2452.34
aimai,2451.69
aimerons,2451.41
aimèrent,2451.31
aimassent,2450.88
aimâmes,2450.82
aimassions,2450.75
aimâtes,2450.71
aimasse,2450.7
laissé,2443.18
pensa,2434.9
entre,2413.42
heures,2412.42
pensent,2404.99
pensant,2397.99
trouves,2395.95
moins,2393.86
demande,2391.75
trouvez,2384.8
mains,2382.64
attendre,2379.04
pensons,2372.81
pensai,2372.41
regardait,2372.31
pensaient,2372.2
trouva,2371.89
pensiez,2369.76
vers,2367.84
pensions,2364.94
trouvée,2360.69
penserait,2360.6
pensera,2360.55
penserai,2359.99
trouvais,2359.67
penserais,2358.87
penseront,2358.07
penseras,2358.06
pensée,2357.09
penseraient,2357.05
penserez,2356.81
pensèrent,2356.35
penseriez,2356.13
pensées,2356.11
pensât,2356.01
pensés,2355.77
penserons,2355.71
penserions,2355.48
pensâmes,2355.34
trouvent,2352.53
trouvera,2348.71
trouvaient,2347.72
regarda,2346.43
coup,2340.56
trouverai,2338.38
trouverez,2331.83
trouveras,2330.87
dont,2329.38
trouverait,2327.57
trouvai,2327.5
trouvés,2326.48
trouvant,2325.7
trouvons,2322.56
trouverais,2319.27
trouveront,2318.43
trouverons,2317.6
trouvèrent,2317.18
trouvées,2316.2
trouvions,2315.66
trouveraient,2312.32
trouviez,2311.98
trouvât,2311.84
trouvâmes,2310.97
air,2310.5
trouveriez,2309.45
trouverions,2309.35
attendez,2308.67
trouvassent,2308.33
trouvas,2308.13
trouvasse,2308.13
attend,2306.47
regardé,2288.04
regardant,2282.97
même,2282.86
mit,2281.23
arrivé,2276.43
laissait,2276.2
mets,2274.1
reste,2271.77
autre,2270.3
met,2264.49
leurs,2260.22
laissa,2256.14
laissant,2254.96
arriver,2253.34
enfants,2253.32
appelle,2248.95
regardais,2247.39
donnait,2244.89
regardes,2244.18
donnez,2237.69
demandé,2236.04
regardaient,2232.2
